,index,num_bandeja,idx,longitud_hoja,calidad_plantin,prediccion_calidad,h_filename,v_filename,pre_eval,evaluacion_prediccion
10,19,1,A20,43.25,2.0,3.0,h-2024-07-04_16-00-28.474702_ll_A20_C3.jpg,v-2024-07-04_16-00-28.474702_ll_A20_C3.jpg,-1.0,0.0
11,20,1,A21,15.08,2.0,3.0,h-2024-07-04_16-00-42.975066_ll_A21_C3.jpg,v-2024-07-04_16-00-42.975066_ll_A21_C3.jpg,-1.0,0.0
12,21,1,A22,2.94,2.0,2.0,h-2024-07-04_16-00-57.334275_ll_A22_C2.jpg,v-2024-07-04_16-00-57.334275_ll_A22_C2.jpg,0.0,1.0
13,22,1,A23,5.72,2.0,2.0,h-2024-07-04_16-01-02.474715_ll_A23_C2.jpg,v-2024-07-04_16-01-02.474715_ll_A23_C2.jpg,0.0,1.0
14,24,1,A25,58.69,3.0,3.0,h-2024-07-04_16-01-12.769455_ll_A25_C3.jpg,v-2024-07-04_16-01-12.769455_ll_A25_C3.jpg,0.0,1.0
15,25,1,A26,52.6,3.0,3.0,h-2024-07-04_16-01-27.133664_ll_A26_C3.jpg,v-2024-07-04_16-01-27.133664_ll_A26_C3.jpg,0.0,1.0
16,26,1,A27,39.03,2.0,3.0,h-2024-07-04_16-01-41.535102_ll_A27_C3.jpg,v-2024-07-04_16-01-41.535102_ll_A27_C3.jpg,-1.0,0.0
17,27,1,A28,50.29,3.0,3.0,h-2024-07-04_16-02-00.765239_ll_A28_C3.jpg,v-2024-07-04_16-02-00.765239_ll_A28_C3.jpg,0.0,1.0
18,30,1,A31,15.34,2.0,3.0,h-2024-07-04_16-02-25.556248_ll_A31_C3.jpg,v-2024-07-04_16-02-25.556248_ll_A31_C3.jpg,-1.0,0.0
19,31,1,A32,31.49,2.0,3.0,h-2024-07-04_16-02-39.826746_ll_A32_C3.jpg,v-2024-07-04_16-02-39.826746_ll_A32_C3.jpg,-1.0,0.0
20,32,1,A33,60.39,3.0,3.0,h-2024-07-04_16-02-54.234151_ll_A33_C3.jpg,v-2024-07-04_16-02-54.234151_ll_A33_C3.jpg,0.0,1.0
21,33,1,A34,43.94,2.0,3.0,h-2024-07-04_16-03-08.534890_ll_A34_C3.jpg,v-2024-07-04_16-03-08.534890_ll_A34_C3.jpg,-1.0,0.0
22,34,1,A35,42.64,2.0,3.0,h-2024-07-04_16-03-22.902459_ll_A35_C3.jpg,v-2024-07-04_16-03-22.902459_ll_A35_C3.jpg,-1.0,0.0
23,35,1,A36,19.26,2.0,3.0,h-2024-07-04_16-04-36.693963_ll_A36_C3.jpg,v-2024-07-04_16-04-36.693963_ll_A36_C3.jpg,-1.0,0.0
24,36,1,A37,63.79,3.0,3.0,h-2024-07-04_16-04-51.225497_ll_A37_C3.jpg,v-2024-07-04_16-04-51.225497_ll_A37_C3.jpg,0.0,1.0
25,37,1,A38,37.37,2.0,3.0,h-2024-07-04_16-05-05.629313_ll_A38_C3.jpg,v-2024-07-04_16-05-05.629313_ll_A38_C3.jpg,-1.0,0.0
26,38,1,A39,60.19,3.0,3.0,h-2024-07-04_16-05-19.965748_ll_A39_C3.jpg,v-2024-07-04_16-05-19.965748_ll_A39_C3.jpg,0.0,1.0
27,39,1,A40,54.02,3.0,3.0,h-2024-07-04_16-05-34.365642_ll_A40_C3.jpg,v-2024-07-04_16-05-34.365642_ll_A40_C3.jpg,0.0,1.0
28,40,1,A41,48.82,2.0,3.0,h-2024-07-04_16-05-48.725789_ll_A41_C3.jpg,v-2024-07-04_16-05-48.725789_ll_A41_C3.jpg,-1.0,0.0
29,43,1,A44,54.3,3.0,3.0,h-2024-07-04_16-06-18.265021_ll_A44_C3.jpg,v-2024-07-04_16-06-18.265021_ll_A44_C3.jpg,0.0,1.0
30,44,1,A45,56.48,3.0,3.0,h-2024-07-04_16-06-32.654044_ll_A45_C3.jpg,v-2024-07-04_16-06-32.654044_ll_A45_C3.jpg,0.0,1.0
31,45,1,A46,51.91,3.0,3.0,h-2024-07-04_16-06-47.034542_ll_A46_C3.jpg,v-2024-07-04_16-06-47.034542_ll_A46_C3.jpg,0.0,1.0
32,46,1,A47,62.03,3.0,3.0,h-2024-07-04_16-07-01.461787_ll_A47_C3.jpg,v-2024-07-04_16-07-01.461787_ll_A47_C3.jpg,0.0,1.0
33,47,1,A48,47.99,2.0,3.0,h-2024-07-04_16-07-15.759200_ll_A48_C3.jpg,v-2024-07-04_16-07-15.759200_ll_A48_C3.jpg,-1.0,0.0
34,51,1,A52,50.14,3.0,3.0,h-2024-07-04_16-07-45.463828_ll_A52_C3.jpg,v-2024-07-04_16-07-45.463828_ll_A52_C3.jpg,0.0,1.0
35,52,1,A53,49.67,2.0,3.0,h-2024-07-04_16-08-04.755528_ll_A53_C3.jpg,v-2024-07-04_16-08-04.755528_ll_A53_C3.jpg,-1.0,0.0
36,54,1,A55,43.9,2.0,3.0,h-2024-07-04_16-08-24.241037_ll_A55_C3.jpg,v-2024-07-04_16-08-24.241037_ll_A55_C3.jpg,-1.0,0.0
37,55,1,A56,43.23,2.0,3.0,h-2024-07-04_16-08-38.635044_ll_A56_C3.jpg,v-2024-07-04_16-08-38.635044_ll_A56_C3.jpg,-1.0,0.0
38,56,1,A57,29.89,2.0,3.0,h-2024-07-04_16-08-52.958649_ll_A57_C3.jpg,v-2024-07-04_16-08-52.958649_ll_A57_C3.jpg,-1.0,0.0
39,57,1,A58,61.3,3.0,3.0,h-2024-07-04_16-09-07.479602_ll_A58_C3.jpg,v-2024-07-04_16-09-07.479602_ll_A58_C3.jpg,0.0,1.0
40,60,1,A61,45.02,2.0,3.0,h-2024-07-04_16-09-31.955192_ll_A61_C3.jpg,v-2024-07-04_16-09-31.955192_ll_A61_C3.jpg,-1.0,0.0
41,61,1,A62,20.85,2.0,3.0,h-2024-07-04_16-10-14.558638_ll_A62_C3.jpg,v-2024-07-04_16-10-14.558638_ll_A62_C3.jpg,-1.0,0.0
42,63,1,A64,36.86,2.0,3.0,h-2024-07-04_16-10-35.278237_ll_A64_C3.jpg,v-2024-07-04_16-10-35.278237_ll_A64_C3.jpg,-1.0,0.0
43,64,1,A65,45.69,2.0,3.0,h-2024-07-04_16-10-49.669630_ll_A65_C3.jpg,v-2024-07-04_16-10-49.669630_ll_A65_C3.jpg,-1.0,0.0
44,67,1,A68,34.32,2.0,3.0,h-2024-07-04_16-11-14.395302_ll_A68_C3.jpg,v-2024-07-04_16-11-14.395302_ll_A68_C3.jpg,-1.0,0.0
45,68,1,A69,36.24,2.0,3.0,h-2024-07-04_16-11-28.768040_ll_A69_C3.jpg,v-2024-07-04_16-11-28.768040_ll_A69_C3.jpg,-1.0,0.0
46,69,1,A70,11.84,2.0,2.0,h-2024-07-04_16-11-43.025149_ll_A70_C2.jpg,v-2024-07-04_16-11-43.025149_ll_A70_C2.jpg,0.0,1.0
47,70,1,A71,31.63,2.0,3.0,h-2024-07-04_16-11-48.260404_ll_A71_C3.jpg,v-2024-07-04_16-11-48.260404_ll_A71_C3.jpg,-1.0,0.0
48,74,2,A3,42.86,2.0,3.0,h-2024-07-04_16-13-56.538595_ll_A3_C3.jpg,v-2024-07-04_16-13-56.538595_ll_A3_C3.jpg,-1.0,0.0
49,75,2,A4,51.76,3.0,3.0,h-2024-07-04_16-14-10.667261_ll_A4_C3.jpg,v-2024-07-04_16-14-10.667261_ll_A4_C3.jpg,0.0,1.0
50,76,2,A5,50.2,3.0,3.0,h-2024-07-04_16-14-25.043371_ll_A5_C3.jpg,v-2024-07-04_16-14-25.043371_ll_A5_C3.jpg,0.0,1.0
51,78,2,A7,54.79,3.0,3.0,h-2024-07-04_16-14-44.543747_ll_A7_C3.jpg,v-2024-07-04_16-14-44.543747_ll_A7_C3.jpg,0.0,1.0
52,79,2,A8,44.48,2.0,3.0,h-2024-07-04_16-14-58.811413_ll_A8_C3.jpg,v-2024-07-04_16-14-58.811413_ll_A8_C3.jpg,-1.0,0.0
53,80,2,A9,63.29,3.0,3.0,h-2024-07-04_16-15-13.162260_ll_A9_C3.jpg,v-2024-07-04_16-15-13.162260_ll_A9_C3.jpg,0.0,1.0
54,81,2,A10,53.34,3.0,3.0,h-2024-07-04_16-15-32.463006_ll_A10_C3.jpg,v-2024-07-04_16-15-32.463006_ll_A10_C3.jpg,0.0,1.0
55,82,2,A11,44.09,2.0,3.0,h-2024-07-04_16-15-46.752796_ll_A11_C3.jpg,v-2024-07-04_16-15-46.752796_ll_A11_C3.jpg,-1.0,0.0
56,85,2,A14,32.94,2.0,3.0,h-2024-07-04_16-16-11.565607_ll_A14_C3.jpg,v-2024-07-04_16-16-11.565607_ll_A14_C3.jpg,-1.0,0.0
57,87,2,A16,59.81,3.0,3.0,h-2024-07-04_16-16-31.133837_ll_A16_C3.jpg,v-2024-07-04_16-16-31.133837_ll_A16_C3.jpg,0.0,1.0
58,88,2,A17,59.76,3.0,3.0,h-2024-07-04_16-16-45.627891_ll_A17_C3.jpg,v-2024-07-04_16-16-45.627891_ll_A17_C3.jpg,0.0,1.0
59,91,2,A20,63.24,3.0,3.0,h-2024-07-04_16-17-10.260948_ll_A20_C3.jpg,v-2024-07-04_16-17-10.260948_ll_A20_C3.jpg,0.0,1.0
60,92,2,A21,57.36,3.0,3.0,h-2024-07-04_16-17-59.051924_ll_A21_C3.jpg,v-2024-07-04_16-17-59.051924_ll_A21_C3.jpg,0.0,1.0
61,93,2,A22,50.3,3.0,3.0,h-2024-07-04_16-18-13.433746_ll_A22_C3.jpg,v-2024-07-04_16-18-13.433746_ll_A22_C3.jpg,0.0,1.0
62,94,2,A23,17.07,2.0,2.0,h-2024-07-04_16-18-27.735308_ll_A23_C2.jpg,v-2024-07-04_16-18-27.735308_ll_A23_C2.jpg,0.0,1.0
63,97,2,A26,57.88,3.0,3.0,h-2024-07-04_16-18-43.370731_ll_A26_C3.jpg,v-2024-07-04_16-18-43.370731_ll_A26_C3.jpg,0.0,1.0
64,102,2,A31,44.96,2.0,3.0,h-2024-07-04_16-19-18.344231_ll_A31_C3.jpg,v-2024-07-04_16-19-18.344231_ll_A31_C3.jpg,-1.0,0.0
65,103,2,A32,59.92,3.0,3.0,h-2024-07-04_16-19-32.792159_ll_A32_C3.jpg,v-2024-07-04_16-19-32.792159_ll_A32_C3.jpg,0.0,1.0
66,104,2,A33,58.95,3.0,3.0,h-2024-07-04_16-19-47.046925_ll_A33_C3.jpg,v-2024-07-04_16-19-47.046925_ll_A33_C3.jpg,0.0,1.0
67,105,2,A34,49.86,2.0,3.0,h-2024-07-04_16-20-06.064695_ll_A34_C3.jpg,v-2024-07-04_16-20-06.064695_ll_A34_C3.jpg,-1.0,0.0
68,106,2,A35,48.06,2.0,3.0,h-2024-07-04_16-20-20.555921_ll_A35_C3.jpg,v-2024-07-04_16-20-20.555921_ll_A35_C3.jpg,-1.0,0.0
69,107,2,A36,32.12,2.0,3.0,h-2024-07-04_16-20-34.899258_ll_A36_C3.jpg,v-2024-07-04_16-20-34.899258_ll_A36_C3.jpg,-1.0,0.0
70,108,2,A37,38.82,2.0,3.0,h-2024-07-04_16-20-49.332212_ll_A37_C3.jpg,v-2024-07-04_16-20-49.332212_ll_A37_C3.jpg,-1.0,0.0
71,109,2,A38,49.74,2.0,3.0,h-2024-07-04_16-21-03.809118_ll_A38_C3.jpg,v-2024-07-04_16-21-03.809118_ll_A38_C3.jpg,-1.0,0.0
72,110,2,A39,44.29,2.0,3.0,h-2024-07-04_16-21-18.240309_ll_A39_C3.jpg,v-2024-07-04_16-21-18.240309_ll_A39_C3.jpg,-1.0,0.0
73,111,2,A40,47.24,2.0,3.0,h-2024-07-04_16-21-37.434694_ll_A40_C3.jpg,v-2024-07-04_16-21-37.434694_ll_A40_C3.jpg,-1.0,0.0
74,112,2,A41,41.43,2.0,3.0,h-2024-07-04_16-21-51.989404_ll_A41_C3.jpg,v-2024-07-04_16-21-51.989404_ll_A41_C3.jpg,-1.0,0.0
75,113,2,A42,48.15,2.0,3.0,h-2024-07-04_16-22-06.185413_ll_A42_C3.jpg,v-2024-07-04_16-22-06.185413_ll_A42_C3.jpg,-1.0,0.0
76,115,2,A44,51.1,3.0,3.0,h-2024-07-04_16-22-25.699648_ll_A44_C3.jpg,v-2024-07-04_16-22-25.699648_ll_A44_C3.jpg,0.0,1.0
77,117,2,A46,21.13,2.0,3.0,h-2024-07-04_16-22-45.320162_ll_A46_C3.jpg,v-2024-07-04_16-22-45.320162_ll_A46_C3.jpg,-1.0,0.0
78,118,2,A47,58.81,3.0,3.0,h-2024-07-04_16-22-59.588487_ll_A47_C3.jpg,v-2024-07-04_16-22-59.588487_ll_A47_C3.jpg,0.0,1.0
79,124,2,A53,26.47,2.0,3.0,h-2024-07-04_16-24-52.467491_ll_A53_C3.jpg,v-2024-07-04_16-24-52.467491_ll_A53_C3.jpg,-1.0,0.0
80,125,2,A54,36.21,2.0,3.0,h-2024-07-04_16-25-06.729265_ll_A54_C3.jpg,v-2024-07-04_16-25-06.729265_ll_A54_C3.jpg,-1.0,0.0
81,126,2,A55,45.15,2.0,3.0,h-2024-07-04_16-25-21.223034_ll_A55_C3.jpg,v-2024-07-04_16-25-21.223034_ll_A55_C3.jpg,-1.0,0.0
82,127,2,A56,41.15,2.0,3.0,h-2024-07-04_16-25-35.611084_ll_A56_C3.jpg,v-2024-07-04_16-25-35.611084_ll_A56_C3.jpg,-1.0,0.0
83,128,2,A57,38.79,2.0,3.0,h-2024-07-04_16-25-49.747625_ll_A57_C3.jpg,v-2024-07-04_16-25-49.747625_ll_A57_C3.jpg,-1.0,0.0
84,129,2,A58,35.24,2.0,3.0,h-2024-07-04_16-26-04.192069_ll_A58_C3.jpg,v-2024-07-04_16-26-04.192069_ll_A58_C3.jpg,-1.0,0.0
85,130,2,A59,42.68,2.0,3.0,h-2024-07-04_16-26-23.105710_ll_A59_C3.jpg,v-2024-07-04_16-26-23.105710_ll_A59_C3.jpg,-1.0,0.0
86,131,2,A60,43.77,2.0,3.0,h-2024-07-04_16-26-37.278482_ll_A60_C3.jpg,v-2024-07-04_16-26-37.278482_ll_A60_C3.jpg,-1.0,0.0
87,132,2,A61,33.79,2.0,3.0,h-2024-07-04_16-26-51.575585_ll_A61_C3.jpg,v-2024-07-04_16-26-51.575585_ll_A61_C3.jpg,-1.0,0.0
88,133,2,A62,28.18,2.0,3.0,h-2024-07-04_16-27-05.867307_ll_A62_C3.jpg,v-2024-07-04_16-27-05.867307_ll_A62_C3.jpg,-1.0,0.0
89,134,2,A63,41.26,2.0,3.0,h-2024-07-04_16-27-20.232756_ll_A63_C3.jpg,v-2024-07-04_16-27-20.232756_ll_A63_C3.jpg,-1.0,0.0
90,135,2,A64,44.32,2.0,3.0,h-2024-07-04_16-27-34.726545_ll_A64_C3.jpg,v-2024-07-04_16-27-34.726545_ll_A64_C3.jpg,-1.0,0.0
91,136,2,A65,36.79,2.0,3.0,h-2024-07-04_16-27-53.866071_ll_A65_C3.jpg,v-2024-07-04_16-27-53.866071_ll_A65_C3.jpg,-1.0,0.0
92,137,2,A66,37.49,2.0,3.0,h-2024-07-04_16-28-08.219425_ll_A66_C3.jpg,v-2024-07-04_16-28-08.219425_ll_A66_C3.jpg,-1.0,0.0
93,138,2,A67,29.78,2.0,3.0,h-2024-07-04_16-28-22.622316_ll_A67_C3.jpg,v-2024-07-04_16-28-22.622316_ll_A67_C3.jpg,-1.0,0.0
94,139,2,A68,46.81,2.0,3.0,h-2024-07-04_16-28-37.226686_ll_A68_C3.jpg,v-2024-07-04_16-28-37.226686_ll_A68_C3.jpg,-1.0,0.0
95,140,2,A69,31.53,2.0,3.0,h-2024-07-04_16-28-51.545384_ll_A69_C3.jpg,v-2024-07-04_16-28-51.545384_ll_A69_C3.jpg,-1.0,0.0
96,141,2,A70,36.25,2.0,3.0,h-2024-07-04_16-29-05.771303_ll_A70_C3.jpg,v-2024-07-04_16-29-05.771303_ll_A70_C3.jpg,-1.0,0.0
97,142,2,A71,32.15,2.0,3.0,h-2024-07-04_16-30-01.153431_ll_A71_C3.jpg,v-2024-07-04_16-30-01.153431_ll_A71_C3.jpg,-1.0,0.0
98,144,3,A1,16.86,2.0,3.0,h-2024-07-04_16-31-59.759265_ll_A1_C3.jpg,v-2024-07-04_16-31-59.759265_ll_A1_C3.jpg,-1.0,0.0
99,146,3,A3,34.28,2.0,3.0,h-2024-07-04_16-32-19.459756_ll_A3_C3.jpg,v-2024-07-04_16-32-19.459756_ll_A3_C3.jpg,-1.0,0.0
100,150,3,A7,24.69,2.0,3.0,h-2024-07-04_16-32-50.556386_ll_A7_C3.jpg,v-2024-07-04_16-32-50.556386_ll_A7_C3.jpg,-1.0,0.0
101,151,3,A8,9.22,2.0,2.0,h-2024-07-04_16-33-04.934326_ll_A8_C2.jpg,v-2024-07-04_16-33-04.934326_ll_A8_C2.jpg,0.0,1.0
102,153,3,A10,34.94,2.0,3.0,h-2024-07-04_16-33-15.165192_ll_A10_C3.jpg,v-2024-07-04_16-33-15.165192_ll_A10_C3.jpg,-1.0,0.0
103,154,3,A11,52.7,3.0,3.0,h-2024-07-04_16-33-29.576698_ll_A11_C3.jpg,v-2024-07-04_16-33-29.576698_ll_A11_C3.jpg,0.0,1.0
104,156,3,A13,8.99,2.0,3.0,h-2024-07-04_16-33-53.872045_ll_A13_C3.jpg,v-2024-07-04_16-33-53.872045_ll_A13_C3.jpg,-1.0,0.0
105,157,3,A14,38.92,2.0,3.0,h-2024-07-04_16-34-08.010900_ll_A14_C3.jpg,v-2024-07-04_16-34-08.010900_ll_A14_C3.jpg,-1.0,0.0
106,159,3,A16,31.74,2.0,3.0,h-2024-07-04_16-34-27.525840_ll_A16_C3.jpg,v-2024-07-04_16-34-27.525840_ll_A16_C3.jpg,-1.0,0.0
107,164,3,A21,35.37,2.0,3.0,h-2024-07-04_16-35-02.754969_ll_A21_C3.jpg,v-2024-07-04_16-35-02.754969_ll_A21_C3.jpg,-1.0,0.0
108,166,3,A23,31.36,2.0,3.0,h-2024-07-04_16-35-22.235146_ll_A23_C3.jpg,v-2024-07-04_16-35-22.235146_ll_A23_C3.jpg,-1.0,0.0
109,167,3,A24,44.89,2.0,3.0,h-2024-07-04_16-35-36.524498_ll_A24_C3.jpg,v-2024-07-04_16-35-36.524498_ll_A24_C3.jpg,-1.0,0.0
110,168,3,A25,57.03,3.0,3.0,h-2024-07-04_16-35-55.680087_ll_A25_C3.jpg,v-2024-07-04_16-35-55.680087_ll_A25_C3.jpg,0.0,1.0
111,169,3,A26,57.8,3.0,3.0,h-2024-07-04_16-36-10.034309_ll_A26_C3.jpg,v-2024-07-04_16-36-10.034309_ll_A26_C3.jpg,0.0,1.0
112,171,3,A28,30.96,2.0,3.0,h-2024-07-04_16-36-29.652656_ll_A28_C3.jpg,v-2024-07-04_16-36-29.652656_ll_A28_C3.jpg,-1.0,0.0
113,178,3,A35,49.21,2.0,3.0,h-2024-07-04_16-37-15.122455_ll_A35_C3.jpg,v-2024-07-04_16-37-15.122455_ll_A35_C3.jpg,-1.0,0.0
114,180,3,A37,46.27,2.0,3.0,h-2024-07-04_16-37-34.670305_ll_A37_C3.jpg,v-2024-07-04_16-37-34.670305_ll_A37_C3.jpg,-1.0,0.0
115,182,3,A39,66.17,3.0,3.0,h-2024-07-04_16-37-54.235715_ll_A39_C3.jpg,v-2024-07-04_16-37-54.235715_ll_A39_C3.jpg,0.0,1.0
116,185,3,A42,47.04,2.0,3.0,h-2024-07-04_16-43-54.468753_ll_A42_C3.jpg,v-2024-07-04_16-43-54.468753_ll_A42_C3.jpg,-1.0,0.0
117,186,3,A43,20.32,2.0,2.0,h-2024-07-04_16-44-08.922825_ll_A43_C2.jpg,v-2024-07-04_16-44-08.922825_ll_A43_C2.jpg,0.0,1.0
118,189,3,A46,31.59,2.0,3.0,h-2024-07-04_16-44-24.522983_ll_A46_C3.jpg,v-2024-07-04_16-44-24.522983_ll_A46_C3.jpg,-1.0,0.0
119,190,3,A47,31.2,2.0,3.0,h-2024-07-04_16-44-39.023935_ll_A47_C3.jpg,v-2024-07-04_16-44-39.023935_ll_A47_C3.jpg,-1.0,0.0
120,191,3,A48,40.22,2.0,3.0,h-2024-07-04_16-44-53.444002_ll_A48_C3.jpg,v-2024-07-04_16-44-53.444002_ll_A48_C3.jpg,-1.0,0.0
121,192,3,A49,46.35,2.0,3.0,h-2024-07-04_16-45-07.876575_ll_A49_C3.jpg,v-2024-07-04_16-45-07.876575_ll_A49_C3.jpg,-1.0,0.0
122,193,3,A50,11.26,2.0,3.0,h-2024-07-04_16-45-22.257386_ll_A50_C3.jpg,v-2024-07-04_16-45-22.257386_ll_A50_C3.jpg,-1.0,0.0
123,195,3,A52,34.96,2.0,3.0,h-2024-07-04_16-45-46.437505_ll_A52_C3.jpg,v-2024-07-04_16-45-46.437505_ll_A52_C3.jpg,-1.0,0.0
124,196,3,A53,58.74,3.0,3.0,h-2024-07-04_16-46-00.832453_ll_A53_C3.jpg,v-2024-07-04_16-46-00.832453_ll_A53_C3.jpg,0.0,1.0
125,199,3,A56,22.55,2.0,3.0,h-2024-07-04_16-46-25.757800_ll_A56_C3.jpg,v-2024-07-04_16-46-25.757800_ll_A56_C3.jpg,-1.0,0.0
126,200,3,A57,60.37,3.0,3.0,h-2024-07-04_16-46-40.141131_ll_A57_C3.jpg,v-2024-07-04_16-46-40.141131_ll_A57_C3.jpg,0.0,1.0
127,201,3,A58,52.99,3.0,3.0,h-2024-07-04_16-46-54.557169_ll_A58_C3.jpg,v-2024-07-04_16-46-54.557169_ll_A58_C3.jpg,0.0,1.0
128,202,3,A59,30.81,2.0,3.0,h-2024-07-04_16-47-08.963543_ll_A59_C3.jpg,v-2024-07-04_16-47-08.963543_ll_A59_C3.jpg,-1.0,0.0
129,204,3,A61,7.49,2.0,2.0,h-2024-07-04_16-47-33.433140_ll_A61_C2.jpg,v-2024-07-04_16-47-33.433140_ll_A61_C2.jpg,0.0,1.0
130,205,3,A62,27.67,2.0,3.0,h-2024-07-04_16-47-38.624953_ll_A62_C3.jpg,v-2024-07-04_16-47-38.624953_ll_A62_C3.jpg,-1.0,0.0
131,206,3,A63,50.63,3.0,3.0,h-2024-07-04_16-47-53.136288_ll_A63_C3.jpg,v-2024-07-04_16-47-53.136288_ll_A63_C3.jpg,0.0,1.0
132,207,3,A64,32.55,2.0,3.0,h-2024-07-04_16-48-07.457171_ll_A64_C3.jpg,v-2024-07-04_16-48-07.457171_ll_A64_C3.jpg,-1.0,0.0
133,208,3,A65,36.2,2.0,3.0,h-2024-07-04_16-48-21.866303_ll_A65_C3.jpg,v-2024-07-04_16-48-21.866303_ll_A65_C3.jpg,-1.0,0.0
134,213,3,A70,33.92,2.0,3.0,h-2024-07-04_16-48-57.125846_ll_A70_C3.jpg,v-2024-07-04_16-48-57.125846_ll_A70_C3.jpg,-1.0,0.0
135,216,4,A1,20.79,2.0,3.0,h-2024-07-04_16-51-24.656442_ll_A1_C3.jpg,v-2024-07-04_16-51-24.656442_ll_A1_C3.jpg,-1.0,0.0
136,217,4,A2,9.51,2.0,3.0,h-2024-07-04_16-52-50.255824_ll_A2_C3.jpg,v-2024-07-04_16-52-50.255824_ll_A2_C3.jpg,-1.0,0.0
137,219,4,A4,33.33,2.0,3.0,h-2024-07-04_16-53-09.829825_ll_A4_C3.jpg,v-2024-07-04_16-53-09.829825_ll_A4_C3.jpg,-1.0,0.0
138,222,4,A7,18.06,2.0,3.0,h-2024-07-04_16-53-34.430465_ll_A7_C3.jpg,v-2024-07-04_16-53-34.430465_ll_A7_C3.jpg,-1.0,0.0
139,223,4,A8,31.0,2.0,3.0,h-2024-07-04_16-53-48.899440_ll_A8_C3.jpg,v-2024-07-04_16-53-48.899440_ll_A8_C3.jpg,-1.0,0.0
140,225,4,A10,29.19,2.0,3.0,h-2024-07-04_16-54-08.595020_ll_A10_C3.jpg,v-2024-07-04_16-54-08.595020_ll_A10_C3.jpg,-1.0,0.0
141,226,4,A11,29.34,2.0,3.0,h-2024-07-04_17-03-12.559818_ll_A11_C3.jpg,v-2024-07-04_17-03-12.559818_ll_A11_C3.jpg,-1.0,0.0
142,227,4,A12,21.04,2.0,3.0,h-2024-07-04_17-03-31.856258_ll_A12_C3.jpg,v-2024-07-04_17-03-31.856258_ll_A12_C3.jpg,-1.0,0.0
143,228,4,A13,9.53,2.0,2.0,h-2024-07-04_17-03-46.259521_ll_A13_C2.jpg,v-2024-07-04_17-03-46.259521_ll_A13_C2.jpg,0.0,1.0
144,229,4,A14,43.09,2.0,3.0,h-2024-07-04_17-03-51.365863_ll_A14_C3.jpg,v-2024-07-04_17-03-51.365863_ll_A14_C3.jpg,-1.0,0.0
145,231,4,A16,32.4,2.0,3.0,h-2024-07-04_17-04-10.849745_ll_A16_C3.jpg,v-2024-07-04_17-04-10.849745_ll_A16_C3.jpg,-1.0,0.0
146,232,4,A17,53.84,3.0,3.0,h-2024-07-04_17-04-25.420090_ll_A17_C3.jpg,v-2024-07-04_17-04-25.420090_ll_A17_C3.jpg,0.0,1.0
147,233,4,A18,32.95,2.0,3.0,h-2024-07-04_17-04-39.665462_ll_A18_C3.jpg,v-2024-07-04_17-04-39.665462_ll_A18_C3.jpg,-1.0,0.0
148,235,4,A20,42.4,2.0,3.0,h-2024-07-04_17-04-59.234762_ll_A20_C3.jpg,v-2024-07-04_17-04-59.234762_ll_A20_C3.jpg,-1.0,0.0
149,236,4,A21,34.89,2.0,3.0,h-2024-07-04_17-05-18.511699_ll_A21_C3.jpg,v-2024-07-04_17-05-18.511699_ll_A21_C3.jpg,-1.0,0.0
150,237,4,A22,33.67,2.0,3.0,h-2024-07-04_17-05-32.949697_ll_A22_C3.jpg,v-2024-07-04_17-05-32.949697_ll_A22_C3.jpg,-1.0,0.0
